token,votes
forefend,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 557}""}"
invalidate,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
annul,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
forfend,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
deflect,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
obviate,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
fend_off,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
void,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
stave_off,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
ward_off,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
quash,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
keep_off,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
nullify,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
debar,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
avoid,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
avert,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
head_off,"{'success': 0, 'total': 0, 'vote': ""{'success': 0, 'total': 0, 'vote': 520}""}"
