token,votes
debar,"{'success': 0, 'total': 0, 'vote': 530}"
obviate,"{'success': 0, 'total': 0, 'vote': 1030}"
head_off,"{'success': 0, 'total': 0, 'vote': 531}"
invalidate,"{'success': 0, 'total': 0, 'vote': 520}"
avoid,"{'success': 0, 'total': 0, 'vote': 531}"
nullify,"{'success': 0, 'total': 0, 'vote': 520}"
void,"{'success': 0, 'total': 0, 'vote': 520}"
forfend,"{'success': 0, 'total': 0, 'vote': 531}"
ward_off,"{'success': 0, 'total': 0, 'vote': 531}"
avert,"{'success': 0, 'total': 0, 'vote': 531}"
deflect,"{'success': 0, 'total': 0, 'vote': 531}"
keep_off,"{'success': 0, 'total': 0, 'vote': 520}"
forefend,"{'success': 0, 'total': 0, 'vote': 531}"
stave_off,"{'success': 0, 'total': 0, 'vote': 531}"
quash,"{'success': 0, 'total': 0, 'vote': 520}"
annul,"{'success': 0, 'total': 0, 'vote': 520}"
fend_off,"{'success': 0, 'total': 0, 'vote': 531}"
bar,"{'success': 0, 'total': 0, 'vote': 521}"
exclude,"{'success': 0, 'total': 0, 'vote': 521}"
suspend,"{'success': 0, 'total': 0, 'vote': 521}"
rid_of,"{'success': 0, 'total': 0, 'vote': 530}"
eliminate,"{'success': 0, 'total': 0, 'vote': 530}"
