token,votes
keep_off,"{'success': 0, 'total': 0, 'vote': 762}"
deflect,"{'success': 0, 'total': 0, 'vote': 777}"
nullify,"{'success': 0, 'total': 0, 'vote': 767}"
quash,"{'success': 0, 'total': 0, 'vote': 755}"
obviate,"{'success': 0, 'total': 0, 'vote': 756}"
debar,"{'success': 0, 'total': 0, 'vote': 767}"
avert,"{'success': 0, 'total': 0, 'vote': 760}"
ward_off,"{'success': 0, 'total': 0, 'vote': 767}"
forfend,"{'success': 0, 'total': 0, 'vote': 767}"
head_off,"{'success': 0, 'total': 0, 'vote': 767}"
stave_off,"{'success': 0, 'total': 0, 'vote': 726}"
invalidate,"{'success': 0, 'total': 0, 'vote': 767}"
void,"{'success': 0, 'total': 0, 'vote': 766}"
forefend,"{'success': 0, 'total': 0, 'vote': 767}"
fend_off,"{'success': 0, 'total': 0, 'vote': 756}"
annul,"{'success': 0, 'total': 0, 'vote': 767}"
avoid,"{'success': 0, 'total': 0, 'vote': 781}"
,"{'success': 0, 'total': 0, 'vote': 520}"
