token,votes
debar,"{'success': 0, 'total': 0, 'vote': 521}"
obviate,"{'success': 0, 'total': 0, 'vote': 584}"
head_off,"{'success': 0, 'total': 0, 'vote': 522}"
invalidate,"{'success': 0, 'total': 0, 'vote': 520}"
avoid,"{'success': 0, 'total': 0, 'vote': 522}"
nullify,"{'success': 0, 'total': 0, 'vote': 520}"
void,"{'success': 0, 'total': 0, 'vote': 520}"
forfend,"{'success': 0, 'total': 0, 'vote': 522}"
ward_off,"{'success': 0, 'total': 0, 'vote': 522}"
avert,"{'success': 0, 'total': 0, 'vote': 522}"
deflect,"{'success': 0, 'total': 0, 'vote': 522}"
keep_off,"{'success': 0, 'total': 0, 'vote': 520}"
forefend,"{'success': 0, 'total': 0, 'vote': 522}"
stave_off,"{'success': 0, 'total': 0, 'vote': 522}"
quash,"{'success': 0, 'total': 0, 'vote': 520}"
annul,"{'success': 0, 'total': 0, 'vote': 520}"
fend_off,"{'success': 0, 'total': 0, 'vote': 522}"
bar,"{'success': 0, 'total': 0, 'vote': 521}"
exclude,"{'success': 0, 'total': 0, 'vote': 521}"
suspend,"{'success': 0, 'total': 0, 'vote': 521}"
rid_of,"{'success': 0, 'total': 0, 'vote': 521}"
eliminate,"{'success': 0, 'total': 0, 'vote': 521}"
